128.14.67.109:443  | 64.252.73.98   | HK | 57ms | CloudFront | 2023-09-03 23:47:27
128.14.67.254:443  | 64.252.73.98   | HK | 57ms | CloudFront | 2023-09-03 23:47:46
129.227.155.104:443 | 64.252.104.184 | HK | 57ms | CloudFront | 2023-09-03 23:48:10
156.59.125.80:443  | 64.252.68.33   | SG | 57ms | CloudFront | 2023-09-03 23:48:56
23.106.140.23:443  | 64.252.110.108 | JP | 57ms | CloudFront | 2023-09-04 00:55:43
45.40.59.101:443   | 64.252.110.108 | HK | 57ms | CloudFront | 2023-09-03 23:45:11
45.40.59.145:443   | 64.252.73.98   | HK | 57ms | CloudFront | 2023-09-03 23:45:12
47.243.165.146:443 | 64.252.104.184 | HK | 57ms | CloudFront | 2023-09-04 00:41:09
47.57.136.189:443  | 64.252.104.184 | HK | 57ms | CloudFront | 2023-09-04 00:22:41
128.14.67.109:443  | 64.252.73.98   | HK | 58ms | CloudFront | 2023-09-03 23:47:46
156.59.125.66:443  | 64.252.110.108 | SG | 58ms | CloudFront | 2023-09-03 23:48:55
43.155.75.66:443   | 64.252.104.184 | HK | 58ms | CloudFront | 2023-09-04 02:29:05
47.242.34.85:443   | 64.252.104.184 | HK | 58ms | CloudFront | 2023-09-04 00:37:07
8.217.188.92:443   | 64.252.104.184 | HK | 58ms | CloudFront | 2023-09-04 00:11:11
8.217.188.92:443   | 64.252.104.184 | HK | 58ms | CloudFront | 2023-09-04 00:11:30
8.218.54.35:443    | 64.252.104.184 | HK | 58ms | CloudFront | 2023-09-04 00:11:57
128.14.67.109:443  | 64.252.73.98   | HK | 59ms | CloudFront | 2023-09-03 23:47:17
128.14.67.140:443  | 64.252.104.184 | HK | 59ms | CloudFront | 2023-09-03 23:47:42
